fecha,indicativo,glo,p_max,hr,nw_55,tm_min,ta_max,ts_min,nt_30,w_racha,np_100,nw_91,np_001,ta_min,w_rec,e,np_300,p_mes,w_med,nt_00,ti_max,tm_mes,tm_max,np_010
2009-1,3194U,21372.0,,,,,,,,,,,,,,,,,,,,,,
2009-2,3194U,32128.0,,,,,,,,,,,,,,,,,,,,,,
2009-3,3194U,54093.0,8.1(04),54.0,3.0,3.8,24.7(27),9.9,0.0,26/22.5(05),0.0,0.0,7.0,1.1(29),161.0,70.0,0.0,14.2,6.0,0.0,10.0,11.3,18.6,5.0
2009-4,3194U,62125.0,,,,,,,,,,,,,,75.0,,,7.0,,,,,
2009-5,3194U,81420.0,,,,,,,,,,,,,,102.0,,,7.0,,,,,
2009-6,3194U,79922.0,,,,,,,,,,,,,,,,,,,,,,
2009-7,3194U,90923.0,0.2(22),36.0,3.0,17.5,38.0(26),20.6,25.0,23/21.7(21),0.0,0.0,1.0,13.4(18),197.0,133.0,0.0,0.2,9.0,0.0,28.8,25.9,34.2,0.0
2009-8,3194U,77667.0,,40.0,,18.4,37.3(17),22.6,27.0,,,,,13.2(02),,146.0,,,6.0,0.0,29.8,26.3,34.1,
2009-9,3194U,54775.0,4.5(17),51.0,0.0,14.3,33.3(04),21.6,9.0,12/14.2(04),0.0,0.0,7.0,7.7(16),168.0,128.0,0.0,14.3,6.0,0.0,14.2,20.8,27.3,6.0
2009-10,3194U,42582.0,,,,9.9,28.3(06),15.4,0.0,,,,,3.0(17),,103.0,,,,0.0,13.5,16.7,23.5,
2009-11,3194U,25200.0,,,,,,,,,,,,,,,,,6.0,,,,,
2009-12,3194U,17350.0,,,,,,,,,,,,,,,,,6.0,,,,,
