fecha,Benceno,Dióxido de Azufre,Dióxido de Nitrógeno,Monóxido de Carbono,Ozono,Partículas menor 10 μm,Partículas menor 2.5 μm,Óxidos de Nitrógeno,enfermedad pulmonar obstructiva cronica,bronquitis aguda,asma,fibrosis quistica o anomalias sistema respiratorio,insuficiencia cardiaca congestiva,hipertension arterial,enfermedad renal,neumonia bacteriana,diabetes incontrolada sin complicacion,diabetes con complicacion aguda,diabetes con complicacion cronica,infarto agudo de miocardio,temperatura_media_mes,humedad_relativa,precipitaciones,presion_atmosferica_mes,Benceno_1_mes,Benceno_2_meses,Benceno_3_meses,DióxidodDeAzufre_1_mes,DióxidodDeAzufre_2_meses,DióxidodDeAzufre_3_meses,Ozono_1_mes,Ozono_2_meses,Ozono_3_meses,DióxidodDeNitrogeno_1_mes,DióxidodDeNitrogeno_2_meses,DióxidodDeNitrogeno_3_meses,MonoxidoDeCarbono_1_mes,MonoxidoDeCarbono_2_meses,MonoxidoDeCarbono_3_meses,OxidosDeNitrogeno_1_mes,OxidosDeNitrogeno_2_meses,OxidosDeNitrogeno_3_meses,Particulas10_1_mes,Particulas10_2_meses,Particulas10_3_meses,Particulas2.5_1_mes,Particulas2.5_2_meses,Particulas2.5_3_meses
2007-10-01,0.6403225806451613,7.80241935483871,53.387096774193544,0.38911290322580644,27.263440860215056,26.75268817204301,15.306451612903226,102.56182795698925,5.0,1.0,,,2.0,,,5.0,,,,,15.2,57.0,16.0,30.8,,,,,,,,,,,,,,,,,,,,,,,,
2007-11-01,1.1935483870967745,16.778225806451612,68.49193548387096,0.5931451612903226,15.510752688172042,34.97849462365591,17.64516129032258,179.21236559139786,170.0,7.0,29.0,1.0,22.0,,,113.0,,,,1.0,8.8,56.0,27.0,44.2,0.6403225806451613,,,7.80241935483871,,,27.263440860215056,,,53.387096774193544,,,0.38911290322580644,,,102.56182795698925,,,26.75268817204301,,,15.306451612903226,,
2007-12-01,1.0854838709677421,20.241935483870968,65.53225806451613,0.6544354838709678,13.053763440860216,31.908602150537632,19.467741935483872,189.70161290322582,410.0,26.0,95.0,7.0,45.0,2.0,,237.0,,,,,4.305392365545627,56.425056738616064,31.173554787336197,54.85110012875862,1.1935483870967745,0.6403225806451613,,16.778225806451612,7.80241935483871,,15.510752688172042,27.263440860215056,,68.49193548387096,53.387096774193544,,0.5931451612903226,0.38911290322580644,,179.21236559139786,102.56182795698925,,34.97849462365591,26.75268817204301,,17.64516129032258,15.306451612903226,
2008-01-01,0.7661290322580645,16.524193548387096,56.78225806451613,0.5370967741935484,17.510752688172044,29.456989247311828,16.193548387096772,150.91935483870967,377.0,21.0,93.0,6.0,42.0,2.0,,188.0,,,,1.0,2.743692351355192,57.88154908493892,31.50929988624444,64.96037112777398,1.0854838709677421,1.1935483870967745,0.6403225806451613,20.241935483870968,16.778225806451612,7.80241935483871,13.053763440860216,15.510752688172042,27.263440860215056,65.53225806451613,68.49193548387096,53.387096774193544,0.6544354838709678,0.5931451612903226,0.38911290322580644,189.70161290322582,179.21236559139786,102.56182795698925,31.908602150537632,34.97849462365591,26.75268817204301,19.467741935483872,17.64516129032258,15.306451612903226
2008-02-01,0.6161290322580646,15.89516129032258,50.45430107526882,0.4544354838709677,22.403225806451616,26.204301075268816,12.790322580645162,110.41666666666667,317.0,20.0,71.0,4.0,33.0,1.0,,212.0,,,,,3.5636015325670534,59.71838331160365,29.133526126844835,72.44385480572598,0.7661290322580645,1.0854838709677421,1.1935483870967745,16.524193548387096,20.241935483870968,16.778225806451612,17.510752688172044,13.053763440860216,15.510752688172042,56.78225806451613,65.53225806451613,68.49193548387096,0.5370967741935484,0.6544354838709678,0.5931451612903226,150.91935483870967,189.70161290322582,179.21236559139786,29.456989247311828,31.908602150537632,34.97849462365591,16.193548387096772,19.467741935483872,17.64516129032258
2008-03-01,0.40000000000000013,11.080645161290322,39.81720430107527,0.36532258064516143,43.715053763440864,19.311827956989248,7.870967741935484,74.51612903225806,296.0,21.0,87.0,9.0,37.0,2.0,,182.0,,,,1.0,6.213821484319571,61.28446569124536,25.172524339257485,75.2175929712944,0.6161290322580646,0.7661290322580645,1.0854838709677421,15.89516129032258,16.524193548387096,20.241935483870968,22.403225806451616,17.510752688172044,13.053763440860216,50.45430107526882,56.78225806451613,65.53225806451613,0.4544354838709677,0.5370967741935484,0.6544354838709678,110.41666666666667,150.91935483870967,189.70161290322582,26.204301075268816,29.456989247311828,31.908602150537632,12.790322580645162,16.193548387096772,19.467741935483872
2008-04-01,0.335483870967742,7.096774193548387,41.545698924731184,0.32419354838709685,50.25268817204301,20.672043010752688,8.14516129032258,66.74731182795699,283.0,17.0,91.0,7.0,28.0,,,174.0,,,,3.0,10.143053781751098,61.9287024964991,20.752585353602512,71.19762743315911,0.40000000000000013,0.6161290322580646,0.7661290322580645,11.080645161290322,15.89516129032258,16.524193548387096,43.715053763440864,22.403225806451616,17.510752688172044,39.81720430107527,50.45430107526882,56.78225806451613,0.36532258064516143,0.4544354838709677,0.5370967741935484,74.51612903225806,110.41666666666667,150.91935483870967,19.311827956989248,26.204301075268816,29.456989247311828,7.870967741935484,12.790322580645162,16.193548387096772
2008-05-01,0.3016129032258064,6.870967741935484,40.83870967741935,0.3189516129032259,55.47849462365591,21.553763440860212,9.064516129032258,64.19086021505376,285.0,15.0,80.0,4.0,41.0,1.0,,156.0,,,2.0,2.0,14.8,61.0,17.0,58.3,0.335483870967742,0.40000000000000013,0.6161290322580646,7.096774193548387,11.080645161290322,15.89516129032258,50.25268817204301,43.715053763440864,22.403225806451616,41.545698924731184,39.81720430107527,50.45430107526882,0.32419354838709685,0.36532258064516143,0.4544354838709677,66.74731182795699,74.51612903225806,110.41666666666667,20.672043010752688,19.311827956989248,26.204301075268816,8.14516129032258,7.870967741935484,12.790322580645162
2008-06-01,0.31451612903225806,6.854838709677419,38.12903225806452,0.28225806451612906,63.18817204301075,21.887096774193548,11.080645161290324,57.73655913978495,241.0,5.0,40.0,2.0,22.0,,,107.0,,,,,21.4,47.0,13.0,31.6,0.3016129032258064,0.335483870967742,0.40000000000000013,6.870967741935484,7.096774193548387,11.080645161290322,55.47849462365591,50.25268817204301,43.715053763440864,40.83870967741935,41.545698924731184,39.81720430107527,0.3189516129032259,0.32419354838709685,0.36532258064516143,64.19086021505376,66.74731182795699,74.51612903225806,21.553763440860212,20.672043010752688,19.311827956989248,9.064516129032258,8.14516129032258,7.870967741935484
2008-07-01,0.39032258064516134,7.254032258064516,39.42204301075269,0.27782258064516135,63.489247311827945,28.28494623655914,12.306451612903226,59.85215053763441,180.0,4.0,31.0,6.0,24.0,2.0,,106.0,,1.0,,,24.6,41.0,0.2,0.2,0.31451612903225806,0.3016129032258064,0.335483870967742,6.854838709677419,6.870967741935484,7.096774193548387,63.18817204301075,55.47849462365591,50.25268817204301,38.12903225806452,40.83870967741935,41.545698924731184,0.28225806451612906,0.3189516129032259,0.32419354838709685,57.73655913978495,64.19086021505376,66.74731182795699,21.887096774193548,21.553763440860212,20.672043010752688,11.080645161290324,9.064516129032258,8.14516129032258
