fecha,indicativo,p_max,glo,hr,nw_55,tm_min,ta_max,ts_min,nt_30,w_racha,np_100,nw_91,np_001,ta_min,w_rec,e,np_300,p_mes,w_med,nt_00,ti_max,tm_mes,tm_max,np_010
2013-1,3194U,4.7(19),23215.0,67.0,9.0,1.3,18.3(26),7.6,0.0,88/22.2(20),0.0,0.0,15.0,-3.0(06),185.0,61.0,0.0,21.9,7.0,10.0,3.3,5.9,10.3,8.0
2013-2,3194U,,29117.0,,,,,,,,,,,,,,,,,,,,,
2013-3,3194U,13.7(04),37659.0,64.0,7.0,4.4,17.9(30),9.1,0.0,88/20.3(07),3.0,0.0,19.0,-1.7(02),193.0,73.0,0.0,71.3,9.0,4.0,8.5,8.7,13.0,12.0
2013-4,3194U,,59938.0,,,,,,,,,,,,,,,,10.0,,,,,
2013-5,3194U,7.7(17),73605.0,48.0,0.0,7.5,27.0(13),14.7,0.0,88/14.7(09),0.0,0.0,9.0,2.4(02),178.0,81.0,0.0,18.3,8.0,0.0,9.7,14.2,20.9,3.0
2013-6,3194U,,84201.0,,,,,,,,,,,,,,,,4.0,,,,,
2013-7,3194U,8.8(21),86848.0,35.0,,18.9,37.9(09),22.5,29.0,,0.0,,2.0,11.1(29),,132.0,0.0,9.1,,0.0,23.8,26.7,34.5,1.0
2013-8,3194U,0.7(28),77992.0,38.0,,18.1,38.5(11),23.3,27.0,,0.0,,2.0,12.9(08),,135.0,0.0,1.0,,0.0,28.3,26.2,34.1,0.0
2013-9,3194U,,58754.0,45.0,,,,,,,,,,,39.0,119.0,,,1.0,,,,,
2013-10,3194U,12.1(24),39589.0,57.0,,10.3,26.9(10),17.6,0.0,,1.0,,8.0,1.3(31),,102.0,0.0,32.1,,0.0,15.4,16.3,22.2,7.0
2013-11,3194U,7.7(17),27871.0,56.0,,3.1,22.9(05),14.0,0.0,,0.0,,6.0,-4.2(29),,65.0,0.0,11.0,,9.0,6.8,9.1,15.1,2.0
2013-12,3194U,23.8(24),23663.0,60.0,,-0.8,16.3(04),7.5,0.0,,1.0,,7.0,-5.2(02),,54.0,0.0,38.6,7.0,20.0,7.4,5.6,11.9,4.0
